,0
0,(11384048197.629425+26733420888.13874j)
1,(3713225495.0886297+9033086904.840443j)
2,(15697357851.606922+8912214475.860296j)
3,(9628794474.79898-199667856.4779442j)
4,(5779347650.983735-2541562043.415547j)
5,(10755404777.255045-1481660485.6928124j)
6,(7807058960.234552-1132031760.12708j)
7,(23665087878.028683-11495898994.72802j)
8,(17353628429.545464-8220874074.88407j)
9,(5257868897.810238-8372651292.755172j)
10,(1752721606.341414-8707409780.061201j)
11,(-2258791449.759003-7657466738.099298j)
12,(-4372664573.496796-2196324788.561836j)
13,(-4503238582.366348-7645530640.472562j)
14,(421722565.2384095-6189049834.565835j)
15,(8668795640.922081-16251621827.162937j)
16,(7451020100.40609-5141498197.463179j)
17,(6383611433.146421-24999896612.719364j)
18,(8445299201.316107-5336286887.766756j)
19,(5476909089.755975-12011783712.348026j)
20,(12346691767.56019-11011506487.75806j)
21,(15523722630.973118+9601095157.567421j)
22,(15007828509.4831+25720675969.855145j)
23,(-4473289234.967262+10583871850.075676j)
24,(4694169308.348075+3078517489.943904j)
25,(5772631219.760413+10321537163.579884j)
26,(5066776766.157128+15141458231.112991j)
27,(11563377932.23606+8744544117.248493j)
28,(10236077083.529083+20610778137.40487j)
29,(-7349403745.258072+17047494335.757963j)
30,(-2758352148.105524+33323371922.045372j)
31,(-46110682.63012695+12349639910.818836j)
32,(16749092951.589687+19732776669.10047j)
33,(5824795399.175053+7726346912.647504j)
34,(4973874197.722384+856690055.1409773j)
35,(6114145301.000661+2473167564.018988j)
36,(14113769611.44252+2552047815.839791j)
37,(28430462805.774036+13794016968.07715j)
38,(14472250647.802004+6177756934.394348j)
39,(4305498870.540224-4647397823.434329j)
40,(-1468530148.3583498-9727102902.081882j)
41,(-638109522.0963383-11807992448.419567j)
42,(-6928938278.349283-4924393841.304235j)
43,(-6758113673.411147-9900759761.958988j)
44,(-873332306.2204828-6035687486.949253j)
45,(6061131424.762735-13704180198.645042j)
46,(6508263918.312256-5386305395.040428j)
47,(-2787680874.448641-28707074469.155533j)
48,(8660763346.616657-13181263484.369623j)
